#Red Line
Dilshad Garden,0,150
Jhil Mil,10,150
Mansarovar Park,20,150
Shahdara,30,150
Welcome,40,150
Seelampur,50,150
Shastri Park,60,150
Kashmere Gate,70,150
Tis Hazari,80,150
Pul Bangash,90,150
Pratap Nagar,100,150
Shastri Nagar,110,150
Inder Lok,120,150
Kanhaiya Nagar,130,150
Keshav Puram,140,150
Netaji Subhash Place,150,150
Kohat Enclave,160,150
Pitam Pura,170,150
Rohini East,180,150
Rohini West,190,150
Rithala,200,150
#Yellow Line
Samaypur Badli,70,40
"Rohini Sector 18,19",70,50
Haiderpur Badli Mor,70,60
Jahangirpuri,70,70
Adarsh Nagar,70,80
Azadpur,70,90
Model Town,70,100
G.T.B. Nagar,70,110
Vishwavidyalaya,70,120
Vidhan Sabha,70,130
Civil Lines,70,140
Kashmere Gate,70,150
Chandni Chowk,70,160
Chawri Bazar,70,170
New Delhi,70,180
Rajiv Chowk,70,190
Patel Chowk,70,200
Central Secretariat,70,210
Udyog Bhawan,70,220
Lok Kalyan Marg,70,230
Jorbagh,70,240
INA,70,250
AIIMS,70,260
Green Park,70,270
Hauz Khas,70,280
Malviya Nagar,70,290
Saket,70,300
Qutab Minar,70,310
Chhattarpur,70,320
Sultanpur,70,330
Ghitorni,70,340
Arjan Garh,70,350
Guru Dronacharya,70,360
Sikandarpur,70,370
MG Road,70,380
IFFCO Chowk,70,390
Huda City Centre,70,400
#Blue Line
Dwarka Sec-21,-126,-6
Dwarka Sec-08,-119,1
Dwarka Sec-09,-112,8
Dwarka Sec-10,-105,15
Dwarka Sec-11,-98,22
Dwarka Sec-12,-91,29
Dwarka Sec-13,-84,36
Dwarka Sec-14,-77,43
Dwarka,-70,50
Dwarka Mor,-63,57
Nawada,-56,64
Uttam Nagar West,-49,71
Uttam Nagar East,-42,78
Janak Puri West,-35,85
Janak Puri East,-28,92
Tilak Nagar,-21,99
Subhash Nagar,-14,106
Tagore Garden,-7,113
Rajouri Garden,0,120
Ramesh Nagar,7,127
Moti Nagar,14,134
Kirti Nagar,21,141
Shadipur,28,148
Patel Nagar,35,155
Rajendra Place,42,162
Karol Bagh,49,169
Jhandewalan,56,176
R K Ashram Marg,63,183
Rajiv Chowk,70,190
Barakhamba,77,197
Mandi House,84,204
Pragati Maidan,91,211
Indraprastha,98,218
Yamuna Bank,105,225
Akshardham,112,232
Mayur Vihar Phase-1,119,239
Mayur Vihar Extention,126,246
New Ashok Nagar,133,253
Noida Sector-15,140,260
Noida Sector-16,147,267
Noida Sector-18,154,274
Botanical Garden,161,281
Golf Course,168,288
Noida City Center,175,295
#Pink Line
Majlis Park,66,82
Azadpur,70,90
Shalimar Bagh,110,120
Netaji Subhash Place,150,150
Shakurpur,112,142
Punjabi Bagh West,74,134
ESI Hospital,36,126
Rajouri Garden,0,120
Maya Puri,8,136
Naraina Vihar,16,152
Delhi Cantt,24,168
Durgabai Deshmukh South Campus,32,184
Sir Vishweshwaraiah Moti Bagh,40,200
Bhikaji Cama Place,48,216
Sarojini Nagar,56,232
INA,70,250
South Extension,74,258
Lajpat Nagar,78,266
