#Red Line
Dilshad Garden,0,150
Jhil Mil,10,150
Mansarovar Park,20,150
Shahdara,30,150
Welcome,40,150
Seelampur,50,150
Shastri Park,60,150
Kashmere Gate,70,150
Tis Hazari,80,150
Pul Bangash,90,150
Pratap Nagar,100,150
Shastri Nagar,110,150
Inder Lok,120,150
Kanhaiya Nagar,130,150
Keshav Puram,140,150
Netaji Subhash Place,150,150
Kohat Enclave,160,150
Pitam Pura,170,150
Rohini East,180,150
Rohini West,190,150
Rithala,200,150
#Yellow Line
Samaypur Badli,70,40
"Rohini Sector 18,19",70,50
Haiderpur Badli Mor,70,60
Jahangirpuri,70,70
Adarsh Nagar,70,80
Azadpur,70,90
Model Town,70,100
G.T.B. Nagar,70,110
Vishwavidyalaya,70,120
Vidhan Sabha,70,130
Civil Lines,70,140
Kashmere Gate,70,150
Chandni Chowk,70,160
Chawri Bazar,70,170
New Delhi,70,180
Rajiv Chowk,70,190
Patel Chowk,70,200
Central Secretariat,70,210
Udyog Bhawan,70,220
Lok Kalyan Marg,70,230
Jorbagh,70,240
INA,70,250
AIIMS,70,260
Green Park,70,270
Hauz Khas,70,280
Malviya Nagar,70,290
Saket,70,300
Qutab Minar,70,310
Chhattarpur,70,320
Sultanpur,70,330
Ghitorni,70,340
Arjan Garh,70,350
Guru Dronacharya,70,360
Sikandarpur,70,370
MG Road,70,380
IFFCO Chowk,70,390
Huda City Centre,70,400
#Pink Line
Majlis Park,76,83
Azadpur,70,90
Shalimar Bagh,110,120
Netaji Subhash Place,150,150
Shakurpur,143,158
Punjabi Bagh West,136,166
ESI Hospital,129,174
Rajouri Garden,122,182
Maya Puri,115,190
Naraina Vihar,108,198
Delhi Cantt,101,206
Durgabai Deshmukh South Campus,94,214
Sir Vishweshwaraiah Moti Bagh,87,222
Bhikaji Cama Place,80,230
Sarojini Nagar,73,238
INA,70,250
South Extension,64,257
Lajpat Nagar,58,264
